normalized_key,canonical_name,category
account management,Account Management,sales
accounting,Accounting,finance
accounts payable,Accounts Payable,finance
accounts receivable,Accounts Receivable,finance
audit,Audit,finance
b2b sales,B2B Sales,sales
b2c sales,B2C Sales,sales
bookkeeping,Bookkeeping,finance
brand management,Brand Management,marketing
branding,Branding,marketing
budgeting,Budgeting,finance
business development,Business Development,sales
client relationship management,Client Relationship Management,sales
cold calling,Cold Calling,sales
compensation and benefits,Compensation and Benefits,hr
content marketing,Content Marketing,marketing
content strategy,Content Strategy,marketing
copywriting,Copywriting,marketing
crm,CRM,sales
customer success,Customer Success,sales
diversity and inclusion,Diversity and Inclusion,hr
email marketing,Email Marketing,marketing
employee relations,Employee Relations,hr
enterprise sales,Enterprise Sales,sales
financial analysis,Financial Analysis,finance
financial modeling,Financial Modeling,finance
forecasting,Forecasting,finance
gaap,GAAP,finance
google ads,Google Ads,marketing
growth marketing,Growth Marketing,marketing
hr policy,HR Policy,hr
hris,HRIS,hr
hubspot,HubSpot,marketing
human resources,Human Resources,hr
ifrs,IFRS,finance
influencer marketing,Influencer Marketing,marketing
inside sales,Inside Sales,sales
lead generation,Lead Generation,sales
learning and development,Learning and Development,hr
mailchimp,Mailchimp,marketing
market research,Market Research,marketing
marketing automation,Marketing Automation,marketing
marketing strategy,Marketing Strategy,marketing
meta ads,Meta Ads,marketing
negotiation,Negotiation,sales
onboarding,Onboarding,hr
oracle financials,Oracle Financials,finance
payroll,Payroll,hr
performance marketing,Performance Marketing,marketing
pipeline management,Pipeline Management,sales
ppc,PPC,marketing
quickbooks,QuickBooks,finance
recruitment,Recruitment,hr
risk management,Risk Management,finance
sales,Sales,sales
salesforce,Salesforce,sales
sap,SAP,finance
sem,SEM,marketing
seo,SEO,marketing
social media marketing,Social Media Marketing,marketing
solution selling,Solution Selling,sales
talent acquisition,Talent Acquisition,hr
taxation,Taxation,finance
treasury,Treasury,finance
workforce planning,Workforce Planning,hr
